               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12311,            0.026673,            0.049724,                   0,                   0,                   0,                   0,             0.11292,            0.021369,            0.047469,            0.070714,            0.003254,            0.003254
                   1,              0.1193,            0.025577,            0.049632,                   0,                   0,                   0,                   0,             0.10814,            0.022031,            0.042904,            0.040649,           0.0065221,           0.0065221
                   2,             0.10807,            0.027196,             0.04426,          0.00028658,            0.037698,          0.00016768,          3.3982e-05,             0.10323,            0.024152,              0.0415,            0.010518,           0.0097242,           0.0097242
                   3,             0.10401,            0.028736,            0.041902,           0.0048053,             0.15328,           0.0033895,          0.00095993,             0.10188,            0.024517,            0.039327,            0.009703,            0.009703,            0.009703
                   4,             0.10549,            0.029282,            0.040672,            0.010935,             0.11768,            0.014702,           0.0035717,               0.101,            0.024275,            0.037407,            0.009703,            0.009703,            0.009703
                   5,             0.10028,            0.027498,            0.037664,             0.41676,            0.059863,            0.038784,            0.011317,            0.091796,            0.032281,              0.0336,            0.009604,            0.009604,            0.009604
                   6,            0.087914,            0.027765,            0.037759,             0.63682,             0.16098,             0.14061,            0.035383,            0.081767,            0.024194,            0.032539,            0.009505,            0.009505,            0.009505
                   7,            0.081889,            0.027726,            0.036983,             0.75104,             0.12642,            0.065636,            0.017131,            0.082084,            0.019282,            0.031557,            0.009406,            0.009406,            0.009406
                   8,            0.077002,             0.02628,            0.036599,             0.62216,              0.2409,             0.15914,            0.054716,            0.074029,            0.025344,            0.030974,            0.009307,            0.009307,            0.009307
                   9,            0.071708,            0.024896,            0.032774,             0.66945,             0.19131,             0.13277,            0.036215,            0.074998,            0.017929,            0.028484,            0.009208,            0.009208,            0.009208
                  10,            0.070487,            0.024227,            0.032359,             0.18682,             0.35682,              0.2237,            0.073186,            0.067289,            0.018891,            0.028195,            0.009109,            0.009109,            0.009109
                  11,            0.065116,            0.023329,            0.031743,             0.31639,             0.42271,             0.33177,             0.10969,            0.060096,            0.017878,            0.025346,             0.00901,             0.00901,             0.00901
                  12,            0.062521,             0.02323,             0.02897,             0.40643,             0.43406,             0.38354,             0.13713,            0.061227,            0.017756,            0.024966,            0.008911,            0.008911,            0.008911
                  13,            0.062379,            0.022042,            0.029778,             0.39939,             0.49332,             0.38565,             0.14902,            0.057093,            0.017123,              0.0234,            0.008812,            0.008812,            0.008812
                  14,            0.059766,            0.021276,             0.02659,             0.48265,             0.57053,             0.45833,             0.16741,            0.053979,            0.015992,            0.022627,            0.008713,            0.008713,            0.008713
                  15,            0.056514,            0.020599,            0.025248,             0.43711,             0.51388,             0.45219,             0.15625,            0.055349,            0.014927,            0.021706,            0.008614,            0.008614,            0.008614
                  16,            0.058438,            0.019984,            0.025544,             0.52363,             0.61539,             0.54828,             0.20648,            0.057013,            0.014452,            0.019549,            0.008515,            0.008515,            0.008515
                  17,            0.057498,            0.019987,            0.023226,             0.38802,             0.61342,             0.50332,             0.18806,            0.057085,            0.014128,            0.019109,            0.008416,            0.008416,            0.008416
                  18,             0.06063,            0.019073,            0.022859,             0.47458,             0.62539,             0.54351,             0.20121,            0.051538,            0.014486,            0.020439,            0.008317,            0.008317,            0.008317
                  19,            0.057672,            0.019297,            0.023738,             0.47198,             0.65983,             0.52222,             0.19595,            0.052085,            0.014133,            0.018894,            0.008218,            0.008218,            0.008218
                  20,            0.054949,            0.017745,            0.023364,             0.53201,             0.68916,             0.60198,             0.23016,            0.049087,            0.013618,            0.017269,            0.008119,            0.008119,            0.008119
                  21,            0.056442,            0.018227,            0.021377,              0.6541,             0.69048,             0.67084,             0.27398,            0.047013,            0.013527,            0.015995,             0.00802,             0.00802,             0.00802
                  22,            0.055369,            0.018741,            0.018525,              0.6069,             0.73878,             0.68122,              0.2753,            0.047931,            0.013362,            0.015016,            0.007921,            0.007921,            0.007921
                  23,            0.053119,            0.016951,            0.019196,              0.6303,             0.73128,             0.72063,              0.2943,            0.049131,            0.013397,              0.0141,            0.007822,            0.007822,            0.007822
                  24,            0.054885,            0.017833,            0.018748,             0.58027,              0.7156,             0.64895,             0.24318,            0.053475,            0.013813,            0.012941,            0.007723,            0.007723,            0.007723
                  25,            0.052412,            0.017447,            0.016969,             0.70582,             0.71487,             0.72726,             0.29266,            0.049414,            0.013728,            0.012907,            0.007624,            0.007624,            0.007624
                  26,            0.052791,            0.017149,             0.01776,             0.76105,              0.7522,             0.78445,             0.31033,            0.046341,            0.012657,            0.011538,            0.007525,            0.007525,            0.007525
                  27,            0.052876,            0.017747,            0.016115,             0.83321,             0.80049,             0.84441,             0.36067,            0.044467,            0.012573,            0.010992,            0.007426,            0.007426,            0.007426
                  28,            0.052409,            0.017686,            0.015751,             0.80834,               0.759,             0.79959,             0.31503,            0.048445,             0.01237,             0.01029,            0.007327,            0.007327,            0.007327
                  29,            0.051287,            0.016289,            0.013674,             0.83677,             0.77774,             0.83794,              0.3597,             0.04445,            0.012463,           0.0098234,            0.007228,            0.007228,            0.007228
                  30,            0.052435,            0.017854,            0.012401,             0.80575,             0.80735,             0.83781,             0.34753,            0.046763,            0.012443,           0.0088411,            0.007129,            0.007129,            0.007129
                  31,            0.051063,            0.016648,            0.012631,             0.84005,             0.80957,             0.84655,             0.34405,            0.047642,            0.012094,            0.008131,             0.00703,             0.00703,             0.00703
                  32,            0.046745,            0.016406,           0.0099234,             0.87185,             0.82585,             0.86082,             0.34674,            0.044204,            0.011842,           0.0081595,            0.006931,            0.006931,            0.006931
                  33,            0.044572,            0.016278,           0.0097115,             0.86329,             0.83318,             0.86647,             0.36064,            0.044288,            0.011745,           0.0072964,            0.006832,            0.006832,            0.006832
                  34,            0.048743,            0.015788,            0.012277,             0.88655,             0.79072,             0.87637,             0.37931,            0.042331,            0.011987,           0.0067615,            0.006733,            0.006733,            0.006733
                  35,            0.047972,              0.0169,            0.011329,             0.86317,             0.83706,             0.87704,             0.38161,            0.042647,            0.012199,           0.0068813,            0.006634,            0.006634,            0.006634
                  36,            0.048705,            0.016154,            0.010325,             0.90773,             0.84627,              0.8902,             0.37557,            0.040717,            0.012026,           0.0061026,            0.006535,            0.006535,            0.006535
                  37,            0.049653,            0.016105,            0.009745,             0.90798,             0.84628,             0.89735,             0.37048,            0.043815,            0.011784,           0.0056248,            0.006436,            0.006436,            0.006436
                  38,            0.045508,            0.016198,           0.0099385,             0.89921,             0.81657,             0.86245,             0.35073,            0.043539,            0.011706,           0.0061756,            0.006337,            0.006337,            0.006337
                  39,            0.047682,            0.016137,            0.010208,             0.91385,             0.84268,             0.89091,             0.38169,            0.043833,            0.011636,           0.0056352,            0.006238,            0.006238,            0.006238
                  40,            0.048962,            0.016322,           0.0094879,             0.89682,             0.80412,             0.85212,             0.33377,            0.047807,             0.01234,           0.0057251,            0.006139,            0.006139,            0.006139
                  41,            0.044003,            0.015878,           0.0079003,             0.91448,             0.87097,              0.9051,             0.38748,            0.045264,             0.01155,           0.0048923,             0.00604,             0.00604,             0.00604
                  42,            0.046826,            0.016037,           0.0097332,             0.94156,             0.86607,              0.9144,             0.41844,            0.042539,            0.011473,            0.004748,            0.005941,            0.005941,            0.005941
                  43,            0.045394,            0.015721,           0.0076416,             0.93507,             0.88409,             0.92827,              0.4223,            0.038139,            0.011161,           0.0047162,            0.005842,            0.005842,            0.005842
                  44,            0.043955,            0.015545,            0.007958,             0.93636,             0.88921,              0.9237,             0.43105,            0.037419,            0.011163,           0.0046014,            0.005743,            0.005743,            0.005743
                  45,            0.044224,            0.015948,           0.0056062,             0.91452,             0.88096,             0.91382,             0.40481,            0.039555,            0.011237,           0.0044039,            0.005644,            0.005644,            0.005644
