epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.511,4.16015,21.2259,2.15522,0.00024,0.05162,8e-05,3e-05,3.84448,56.0313,2.09115,0.00027,0.00027,0.00027
2,33.945,3.24348,4.82758,1.39585,0.53781,0.09268,0.08459,0.03344,2.70697,3.56575,1.23483,0.000546945,0.000546945,0.000546945
3,53.2472,2.90144,3.52455,1.21588,0.09858,0.3035,0.06582,0.02299,2.45621,41.2702,1.16389,0.000820779,0.000820779,0.000820779
4,70.5741,2.76294,3.02129,1.19416,0.4205,0.34515,0.31642,0.12293,2.38207,2.449,1.15282,0.000983335,0.000983335,0.000983335
5,83.5799,2.59824,2.58763,1.13131,0.54346,0.39589,0.40376,0.1462,2.35051,2.01334,1.10784,0.00097778,0.00097778,0.00097778
6,113.049,2.53255,2.44041,1.10797,0.6823,0.54011,0.56935,0.20531,2.32149,1.86386,1.10512,0.000972225,0.000972225,0.000972225
7,125.789,2.42348,2.1921,1.1103,0.67293,0.64048,0.68825,0.28115,2.08245,1.63916,1.05206,0.00096667,0.00096667,0.00096667
8,156.529,2.38037,2.03156,1.08582,0.74891,0.61239,0.69223,0.25743,2.1781,1.54215,1.066,0.000961115,0.000961115,0.000961115
9,169.018,2.35799,1.97081,1.07125,0.82495,0.65045,0.73869,0.30935,2.04977,1.41254,1.03677,0.00095556,0.00095556,0.00095556
10,195.266,2.31004,1.87111,1.0497,0.81055,0.74089,0.79594,0.36219,1.93429,1.32383,1.01283,0.000950005,0.000950005,0.000950005
11,215.358,2.29637,1.92549,1.0658,0.82332,0.76401,0.81451,0.35107,1.95824,1.24226,1.01675,0.00094445,0.00094445,0.00094445
12,228.578,2.24872,1.73046,1.0545,0.85869,0.72191,0.78652,0.34296,1.98891,1.2905,1.01682,0.000938895,0.000938895,0.000938895
13,252.018,2.21597,1.72472,1.04334,0.80599,0.71977,0.78141,0.30192,2.07031,1.34547,1.02414,0.00093334,0.00093334,0.00093334
14,268.897,2.1855,1.67558,1.03526,0.88518,0.74796,0.82482,0.35069,1.9893,1.2414,1.01706,0.000927785,0.000927785,0.000927785
15,286.153,2.17229,1.63884,1.03477,0.91129,0.74076,0.82897,0.37157,1.9276,1.18479,1.00247,0.00092223,0.00092223,0.00092223
16,306.23,2.13662,1.59976,1.01605,0.89685,0.69817,0.7931,0.33704,1.97068,1.20813,1.00044,0.000916675,0.000916675,0.000916675
17,323.19,2.0698,1.54204,1.01368,0.91143,0.78125,0.84563,0.37171,1.93314,1.17136,1.00115,0.00091112,0.00091112,0.00091112
18,343.483,2.12404,1.63406,1.03433,0.86446,0.74373,0.80047,0.3308,2.00207,1.18431,1.01259,0.000905565,0.000905565,0.000905565
19,356.159,2.08872,1.54746,1.00315,0.89642,0.78423,0.86961,0.38901,1.89588,1.14542,0.98982,0.00090001,0.00090001,0.00090001
20,382.457,2.05438,1.50538,1.03044,0.89513,0.76973,0.83735,0.36625,1.96861,1.15147,0.99988,0.000894455,0.000894455,0.000894455
21,400.119,2.10232,1.55267,1.02124,0.91323,0.75159,0.85312,0.38635,1.89848,1.15226,0.98457,0.0008889,0.0008889,0.0008889
22,413.13,2.11123,1.55904,1.02407,0.90674,0.77666,0.84827,0.36871,1.92721,1.10609,1.00345,0.000883345,0.000883345,0.000883345
23,437.376,2.10322,1.5192,1.00286,0.89745,0.79317,0.84824,0.36942,1.96179,1.16201,1.0008,0.00087779,0.00087779,0.00087779
24,454.305,2.11739,1.53395,1.02004,0.90817,0.76002,0.84754,0.38049,1.93425,1.10448,0.99941,0.000872235,0.000872235,0.000872235
25,470.432,2.03279,1.45169,1.00451,0.90411,0.80285,0.85881,0.39035,1.87216,1.08788,0.98171,0.00086668,0.00086668,0.00086668
26,490.415,1.98295,1.33384,0.99158,0.92789,0.79086,0.86857,0.40979,1.82771,1.06398,0.97377,0.000861125,0.000861125,0.000861125
